,dates
1115,1882-01-20
1116,1882-01-21
1117,1882-01-22
1118,1882-01-23
1119,1882-01-24
1120,1882-01-25
1121,1882-01-26
1122,1882-01-27
1123,1882-01-28
1124,1882-01-29
1125,1882-01-30
1126,1882-01-31
1127,1882-02-01
1128,1882-02-02
1129,1882-02-03
1130,1882-02-04
1131,1882-02-05
1132,1882-02-06
1133,1882-02-07
1134,1882-02-08
1135,1882-02-09
1136,1882-02-10
1137,1882-02-11
1138,1882-02-12
1139,1882-02-13
1140,1882-02-14
1141,1882-02-15
1142,1882-02-16
1143,1882-02-17
1144,1882-02-18
1145,1882-02-19
1146,1882-02-20
1147,1882-02-21
1148,1882-02-22
1149,1882-02-23
1150,1882-02-24
1151,1882-02-25
1152,1882-02-26
1153,1882-02-27
1154,1882-02-28
1155,1882-03-01
1156,1882-03-02
1157,1882-03-03
1158,1882-03-04
1159,1882-03-05
1160,1882-03-06
1161,1882-03-07
1162,1882-03-08
1163,1882-03-09
1164,1882-03-10
1165,1882-03-11
1166,1882-03-12
1167,1882-03-13
1168,1882-03-14
1169,1882-03-15
1170,1882-03-16
1171,1882-03-17
1172,1882-03-18
1173,1882-03-19
1174,1882-03-20
1175,1882-03-21
1176,1882-03-22
1177,1882-03-23
1178,1882-03-24
1179,1882-03-25
1180,1882-03-26
1181,1882-03-27
1182,1882-03-28
1183,1882-03-29
1184,1882-03-30
1185,1882-03-31
1186,1882-04-01
1187,1882-04-02
1188,1882-04-03
1189,1882-04-04
1190,1882-04-05
1191,1882-04-06
1192,1882-04-07
1193,1882-04-08
1194,1882-04-09
1195,1882-04-10
1196,1882-04-11
1197,1882-04-12
1198,1882-04-13
1199,1882-04-14
1200,1882-04-15
1201,1882-04-16
1202,1882-04-17
1203,1882-04-18
1204,1882-04-19
1205,1882-04-20
1206,1882-04-21
1207,1882-04-22
1208,1882-04-23
1209,1882-04-24
1210,1882-04-25
1211,1882-04-26
1212,1882-04-27
1213,1882-04-28
1214,1882-04-29
1215,1882-04-30
1216,1882-05-01
1217,1882-05-02
1218,1882-05-03
1219,1882-05-04
1220,1882-05-05
1221,1882-05-06
1222,1882-05-07
1223,1882-05-08
1224,1882-05-09
1225,1882-05-10
1226,1882-05-11
1227,1882-05-12
1228,1882-05-13
1229,1882-05-14
1230,1882-05-15
1231,1882-05-16
1232,1882-05-17
1233,1882-05-18
1234,1882-05-19
1235,1882-05-20
1236,1882-05-21
1237,1882-05-22
1238,1882-05-23
1239,1882-05-24
1240,1882-05-25
1241,1882-05-26
1242,1882-05-27
1243,1882-05-28
1244,1882-05-29
1245,1882-05-30
1246,1882-05-31
1247,1882-06-01
1248,1882-06-02
1249,1882-06-03
1250,1882-06-04
1251,1882-06-05
1252,1882-06-06
1253,1882-06-07
1254,1882-06-08
1255,1882-06-09
1256,1882-06-10
1257,1882-06-11
1258,1882-06-12
1259,1882-06-13
1260,1882-06-14
1261,1882-06-15
1262,1882-06-16
1263,1882-06-17
1264,1882-06-18
1265,1882-06-19
1266,1882-06-20
1267,1882-06-21
1268,1882-06-22
1269,1882-06-23
1270,1882-06-24
1271,1882-06-25
1272,1882-06-26
1273,1882-06-27
1274,1882-06-28
1275,1882-06-29
1276,1882-06-30
1277,1882-07-01
1278,1882-07-02
1279,1882-07-03
1280,1882-07-04
1281,1882-07-05
1282,1882-07-06
1283,1882-07-07
1284,1882-07-08
1285,1882-07-09
1286,1882-07-10
1287,1882-07-11
1288,1882-07-12
1289,1882-07-13
1290,1882-07-14
1291,1882-07-15
1292,1882-07-16
1293,1882-07-17
1294,1882-07-18
1295,1882-07-19
1296,1882-07-20
1297,1882-07-21
1298,1882-07-22
1299,1882-07-23
1300,1882-07-24
1301,1882-07-25
1302,1882-07-26
1303,1882-07-27
1304,1882-07-28
1305,1882-07-29
1306,1882-07-30
1307,1882-07-31
1308,1882-08-01
1309,1882-08-02
1310,1882-08-03
1311,1882-08-04
1312,1882-08-05
1313,1882-08-06
1314,1882-08-07
1315,1882-08-08
1316,1882-08-09
1317,1882-08-10
1318,1882-08-11
1319,1882-08-12
1320,1882-08-13
1321,1882-08-14
1322,1882-08-15
1323,1882-08-16
1324,1882-08-17
1325,1882-08-18
1326,1882-08-19
1327,1882-08-20
1328,1882-08-21
1329,1882-08-22
1330,1882-08-23
1331,1882-08-24
1332,1882-08-25
1333,1882-08-26
1334,1882-08-27
1335,1882-08-28
1336,1882-08-29
1337,1882-08-30
1338,1882-08-31
1339,1882-09-01
1340,1882-09-02
1341,1882-09-03
1342,1882-09-04
1343,1882-09-05
1344,1882-09-06
1345,1882-09-07
1346,1882-09-08
1347,1882-09-09
1348,1882-09-10
1349,1882-09-11
1350,1882-09-12
1351,1882-09-13
1352,1882-09-14
1353,1882-09-15
1354,1882-09-16
1355,1882-09-17
1356,1882-09-18
1357,1882-09-19
1358,1882-09-20
1359,1882-09-21
1360,1882-09-22
1361,1882-09-23
1362,1882-09-24
1363,1882-09-25
1364,1882-09-26
1365,1882-09-27
1366,1882-09-28
1367,1882-09-29
1368,1882-09-30
1369,1882-10-01
1370,1882-10-02
1371,1882-10-03
1372,1882-10-04
1373,1882-10-05
1374,1882-10-06
1375,1882-10-07
1376,1882-10-08
1377,1882-10-09
1378,1882-10-10
1379,1882-10-11
1380,1882-10-12
1381,1882-10-13
1382,1882-10-14
1383,1882-10-15
1384,1882-10-16
1385,1882-10-17
1386,1882-10-18
1387,1882-10-19
1388,1882-10-20
1389,1882-10-21
1390,1882-10-22
1391,1882-10-23
1392,1882-10-24
1393,1882-10-25
1394,1882-10-26
1395,1882-10-27
1396,1882-10-28
1397,1882-10-29
1398,1882-10-30
1399,1882-10-31
1400,1882-11-01
1401,1882-11-02
1402,1882-11-03
1403,1882-11-04
1404,1882-11-05
1405,1882-11-06
1406,1882-11-07
1407,1882-11-08
1408,1882-11-09
1409,1882-11-10
1410,1882-11-11
1411,1882-11-12
1412,1882-11-13
1413,1882-11-14
1414,1882-11-15
1415,1882-11-16
1416,1882-11-17
1417,1882-11-18
1418,1882-11-19
1419,1882-11-20
1420,1882-11-21
1421,1882-11-22
1422,1882-11-23
1423,1882-11-24
1424,1882-11-25
1425,1882-11-26
1426,1882-11-27
1427,1882-11-28
1428,1882-11-29
1429,1882-11-30
1430,1882-12-01
1431,1882-12-02
1432,1882-12-03
1433,1882-12-04
1434,1882-12-05
1435,1882-12-06
1436,1882-12-07
1437,1882-12-08
1438,1882-12-09
1439,1882-12-10
1440,1882-12-11
1441,1882-12-12
1442,1882-12-13
1443,1882-12-14
1444,1882-12-15
1445,1882-12-16
1446,1882-12-17
1447,1882-12-18
1448,1882-12-19
1449,1882-12-20
1450,1882-12-21
1451,1882-12-22
1452,1882-12-23
1453,1882-12-24
1454,1882-12-25
1455,1882-12-26
1456,1882-12-27
1457,1882-12-28
1458,1882-12-29
1459,1882-12-30
1460,1882-12-31
1461,1883-01-01
1462,1883-01-02
1463,1883-01-03
1464,1883-01-04
1465,1883-01-05
1466,1883-01-06
1467,1883-01-07
1468,1883-01-08
1469,1883-01-09
1470,1883-01-10
1471,1883-01-11
1472,1883-01-12
1473,1883-01-13
1474,1883-01-14
1475,1883-01-15
1476,1883-01-16
1477,1883-01-17
1478,1883-01-18
1479,1883-01-19
1480,1883-01-20
1481,1883-01-21
1482,1883-01-22
1483,1883-01-23
1484,1883-01-24
1485,1883-01-25
1486,1883-01-26
1487,1883-01-27
1488,1883-01-28
1489,1883-01-29
1490,1883-01-30
1491,1883-01-31
1492,1883-02-01
1493,1883-02-02
1494,1883-02-03
1495,1883-02-04
1496,1883-02-05
