,desc/placeName/_ref,desc/placeName/__text,desc/location/geo/_lat,desc/location/geo/_long,note/_anchored,note/__text,_from,_to,_cert,_instant,geonames,pmb_id,geoname_id,download_link
75,http://www.geonames.org/2766824/,Salzburg,47.79941,13.04399,,,1881-07-11,1881-07-11,,False,https://sws.geonames.org/2766824/,,2766824.0,https://iiif.onb.ac.at/images/AKON/AK067_206/206/full/full/0/native.jpg
76,http://www.geonames.org/2950881/,Berchtesgaden,47.63236,13.00187,True,Salzbergwerk,1881-07-11,1881-07-11,,False,https://sws.geonames.org/2950881/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/797/detail,2950881.0,https://iiif.onb.ac.at/images/AKON/AK114_020/020/full/full/0/native.jpg
77,http://www.geonames.org/2885777/,Königssee,47.55567,12.97802,True,Rundfahrt,1881-07-12,1881-07-12,,False,https://sws.geonames.org/2885777/,,2885777.0,https://iiif.onb.ac.at/images/AKON/AK111_327/327/full/full/0/native.jpg
78,http://www.geonames.org/2778361/,Golling,47.6,13.16667,True,Wasserfall,1881-07-13,1881-07-13,,False,https://sws.geonames.org/2778361/,,2778361.0,https://iiif.onb.ac.at/images/AKON/AK115_064/064/full/full/0/native.jpg
79,http://www.geonames.org/7872240/,Lend,47.28075,13.02265,,,1881-07-13,1881-07-13,,False,https://sws.geonames.org/7872240/,,7872240.0,https://iiif.onb.ac.at/images/AKON/AK021_513/513/full/full/0/native.jpg
80,http://www.geonames.org/7872240/,Lend,47.28075,13.02265,,,1881-07-14,1881-07-14,,False,https://sws.geonames.org/7872240/,,7872240.0,https://iiif.onb.ac.at/images/AKON/AK021_513/513/full/full/0/native.jpg
81,http://www.geonames.org/2782058/,Gastein,47.11547,13.13467,True,Wagen,1881-07-14,1881-07-14,,False,https://sws.geonames.org/2782058/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/521/detail,2782058.0,https://iiif.onb.ac.at/images/AKON/AK116_136/136/full/full/0/native.jpg
82,http://www.geonames.org/2781649/,Böckstein,47.08333,13.11667,,,1881-07-14,1881-07-14,,False,https://sws.geonames.org/2781649/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/54760/detail,2781649.0,https://iiif.onb.ac.at/images/AKON/AK096_531/531/full/full/0/native.jpg
83,http://www.geonames.org/2781649/,Böckstein,47.08333,13.11667,,,1881-07-15,1881-07-15,,False,https://sws.geonames.org/2781649/,https://pmb.acdh.oeaw.ac.at/apis/entities/entity/place/54760/detail,2781649.0,https://iiif.onb.ac.at/images/AKON/AK096_531/531/full/full/0/native.jpg
84,http://www.geonames.org/2770925/,Nassfeld,47.05,13.05,,,1881-07-15,1881-07-15,,False,https://sws.geonames.org/2770925/,,2770925.0,https://iiif.onb.ac.at/images/AKON/AK125_080/080/full/full/0/native.jpg
85,,Malnitzer Tauern,47.05,13.1,,,1881-07-15,1881-07-15,,False,,,,
86,http://www.geonames.org/2769637/,Obervellach,46.93667,13.20417,True,Fusstour,1881-07-15,1881-07-15,,False,https://sws.geonames.org/2769637/,,2769637.0,https://iiif.onb.ac.at/images/AKON/AK118_039/039/full/full/0/native.jpg
87,http://www.geonames.org/2769637/,Obervellach,46.93667,13.20417,,,1881-07-16,1881-07-16,,False,https://sws.geonames.org/2769637/,,2769637.0,https://iiif.onb.ac.at/images/AKON/AK118_039/039/full/full/0/native.jpg
88,http://www.geonames.org/2761039/,Winklern,46.87361,12.87472,,,1881-07-16,1881-07-16,,False,https://sws.geonames.org/2761039/,,,
